Especie|Nombres vernáculo|Familia|Distribución|Descripción de la especie|Fenología|Usos 
Ochroma pyramidale   | Balsa, enea. | Malvaceae    | Se encuentra en el Pacífico norte, central y sur, así como en la zona norte y Caribe. El ámbito de elevación varía de 0 -1200 m.s.n.m; aunque es mas  común en tierras bajas, sube hacia las faldas del macizo montañoso (Cordilleras de Guanacaste y Volcánica central). La  especie cre ce bien en suelos volcánicos o arcillosos fértiles y bien drenados.   | Árbol siempreverde, alcanza hasta 30 m de altura y 180  cm de dap, con copa grande, ancha y gambas en el fuste. La corteza externa es  lisa, gris o pardo y la cor teza interna es amarilla cremosa o rosácea cuando tiene  más edad, o al exponerse a la luz. La savia es transparente y mucilaginosa. Posee  estípulas y las hojas son simples, alternas. Las flores son hermafroditas y son  axilares. El fruto se una cápsula negr a, contiene numerosas semillas, las cuales  tienen tricomas de color pardo claro.   | La floración se da entre los meses de febrero a julio y los frutos entre  julio a octubre.  | Se utiliza como aislante de sonido y vibraciones  (cajas para productos  perecederos, cuartos fríos, cabinas de avión, techos y paredes aislantes, carros de  ferrocarril para almacenaje, refrigeradoras), juguetes, empaque (para vidrio,  cerámica, instrumentos delicados y muebles).
Ocotea endresiana Mez   | Marañon, Ira mangle, Sigua oloroso   | Lauraceae   | Es una especie de climas muy húmedos. Ampliamente distribuida en la Zona Norte, Vertiente Atlántica y parte suroeste de la Vertiente del Pacíf ico. Elevación entre 0 -1200 m.   | Arbusto o más común árbol, que alcanza entre 5 y 30 m de alto. Se distribuye en Costa Rica y Panamá. En Costa Rica en bosque muy húmedo, pluvial y nuboso, elevaciones entre (0 –)750 y 1600 m, en ambas vertientes  | Sin datos. | Comido por aves y se usa medicinalmente debido a sus alcaloides en el uso farmacológico.
Ocotea Macropoda (Kunth) Mez | Sin datos. | Lauraceae   | Bosque húmedo y muy húmedo. De Costa Rica a Venezuela. En Costa Rica, 0 -200 m; Vertiente Caribe, Llanuras de San Carlos y Tortuguero, Baja Talamanca   | Árbol, de 20 -30 m. Hojas simples, alternas, de 6.5 -20 ×  3.5-10 cm, ampliamente elípticas a lanceolado -ovadas. Inflorescencias de 5 -10  cm. Flores bisexuales o unisexuales; perianto de 6 partes en 2 verticilos;  estambres fértiles 9 en 3 verticilos, anteras con 4 válvulas, los 3 internos (serie III)  con 2 glándula s en la base; estaminodios ausentes o muy pobremente  desarrollados; pistilo glabro, rara vez puberulento, estilo esbelto, estigma simple,  discoide o capitado, rara vez 2 -3-lobulado. Bayas (inmaduras) de 0.5 -0.7 cm;  cúpulas de ca. 0.2 cm. Se reconoce por su s hojas con el envés pubescente, venas  terciarias finamente reticuladas y flores funcionalmente unisexuales. Por las  características de la venación es similar a O. leucoxylon, la cual es completamente  glabra.   |  Flores observadas en Enero. Frutos n o se conoce aun el tiempo exacto  de cosecha  (Florula, La selva. 2012). | Sin datos.
Ocotea leucoxylon (Sw.) Laness | Cigua boba, Cigua laurel, Cigua prieta, Cacaíllo, Pataban de monte, Laurel geo, Laurel geogeo  | Lauraceae   |  bosque húmedo, muy húmedo y pluvial. De México a Perú y Las Antillas. En Costa Rica, 10 -2000 m; Vertiente Caribe de las Cordilleras Central, de Guanacaste, Talamanca y  Tilarán, Llanuras de San Carlos; Vertiente Pacífica, Pacífico Central, Península de Osa.   | Arbusto o  árbol, de (2 -)4-30 m. Hojas simples, alternas,  de 10 -27 × 3 -9 cm, elípticas u oblongo -elípticas. Inflorescencias de 4 -13 cm.  Flores bisexuales o unisexuales; perianto de 6 partes en 2 verticilos; estambres  fértiles 9 en 3 verticilos, anteras con 4 válvula s, los 3 internos (serie III) con 2  glándulas en la base; estaminodios ausentes o muy pobremente desarrollados;  pistilo glabro, rara vez puberulento, estilo esbelto, estigma simple, discoide o  capitado, rara vez 2 -3-lobulado. Bayas de 0.8 -1.5 cm; cúpulas d e 0.4 -1 cm. Se  reconoce por sus ramitas glabras, anguladas, hojas con las venas secundarias curvadas, las terciarias reticuladas y débilmente impresas, y frutos globosos con la  cúpula patente y poco profunda   |  Flores y frutos observados todo el añ o (Florula, La selva. 2012). | Sin datos.
Ocotea cernua (Nees) Mez   | Ira, Quizarrá Lorito, Sigua Amarillo   | Lauraceae   |  bosque húmedo y muy húmedo. De México a Perú, Venezuela y Las  Antillas. En Costa Rica, 10 -900 m; Ambas vertientes de las Cordilleras Central, de  Guanacaste, Talamanca y Tilarán; Vertiente Caribe, Llanuras de Los Guatusos,  San Carlos  y Tortuguero; Vertiente Pacífica, Valle de Coto Brus, Pacífico Central,  Península de Osa.   | Arbusto o árbol, de 4 -13(-30) m. Hojas simples,  alternas, de 4 -16 × 1.5 -7.5 cm, elípticas a elíptico -oblongas. Inflorescencias de  2.5-12 cm. Flores bisexuales o unisexuales; perianto de 6 partes en 2 verticilos;  estambres fértiles 9 en 3 verticilos, anteras con 4 válvulas, los 3 internos (serie III)  con 2 glándulas en la base; estaminodios ausentes o muy pobremente  desarrollados; pistilo gla bro, rara vez puberulento, estilo esbelto, estigma simple,  discoide o capitado, rara vez 2 -3-lobulado. Los frutos son Bayas de 1.5 -1.8 cm;  cúpulas de 0.5 -0.8 cm. Se reconoce por sus hojas café -claro o verde -amarillentas  cuando secas, glabras, venas terciar ias finamente impresas en el envés, ápice  acuminado o abruptamente acuminado y flores unisexuales, glabras  exteriormente, negras cuando secas .  |  Flores observadas de Febrero a Mayo y en Diciembre. Frutos  observados de Abril a Noviembre.   |Es planta hospedera del lepidoptero Jemadia pseudognetus (Florula, La selva. 2012).
Otoba novogranatensis Moldenke, Bull.   | Hoja dorada, frutilla, bola de oro.   | Myristicaceae   |  Nicaragua a Colombia. En Costa Rica amplia, en climas húmedos a muy húmedos de ambas vertientes, 0 -1000 m. En LS ocasional a frecuente   | Arboles, 15 -40 m de alto. Tronco recto, cilíndrico,  corteza externa levemente escamosa; ramitas pardo ferrugíneas con diminutos  pelos en forma de T; estípulas ausentes. Corteza externa levemente escamosa.  Hojas simples, alternas, 9 –20 x 4 –11 cm, oblongo -obovadas, ápice redondeado o  algo cuspidado, base abruptamente cuneada, glaucas y con diminutos tricomas o  pelos en forma de T en el envés, margen entero; pecíolo 1 -1.5 cm de largo,  acanalado. Inflorescencias estaminadas racemosas o subespigadas, flores e n  fascículos a todo lo largo; tépalos 3( -4), 3 –4 mm de largo; anteras 2 –6, libres;  flores pistiladas 2 -5 por fascículo, ovario 1 -carpelar. Fruto drupáceo, 2.5 –3 x 1.8 – 2.3 cm, carnoso, dehiscente por dos valvas, globoso -elipsoide, apiculado, glabro y  verdos o cuando maduro. Semilla cubierta por un arilo, delgado y lacinado. Se  caracteriza por sus hojas verde brillantes en la haz y glaucas o blanquecinas en el  envés, la lámina generalmente obovada y las venas secundarias poco  prominentes, con diminutos pelos e n forma de T principalmente en el ápice de  ramitas y el pecíolo acanalado   | Sin datos. |  El arilo que envuelve las semillas es un recurso alimenticio para  varias especies de aves. La madera ha sido muy utilizada para contrachapados.  Es posible que las semillas sean dispersadas por murciélagos, contrario a las  semillas envueltas por el arilo rojo del resto de la familia dispersadas por aves   (Florula, La selva. 2012).
Pentaclethra macroloba   | Gavilán, palo de aceite, quebracho. | Fabaceae  | Se encuentra en la zona norte y Caribe. Es una especie dominante en el dosel superior del  bosque tropical y premontano muy húmedo y alcanza una densidad hasta el 50%  cerca de los ríos, flujos de agua menores y áreas pantanosas. La especie se  establece bien en suelos aluviales o residuales derivados de basaltos; también se  encuentra en suelos mal drenados o pantanosos, ácidos y poco fértiles. La  distribución altitudinal  varía de 0 -600 m.s.n.m. La temperatura de esas zonas varía   de 24 -30ºC y la precipitación es superior a 3500mm. Con frecuencia se encuentra  asociado a otras especies como Carapa guianensis, Pterocarpus offinalis,  Stryphnodendron microstachyum y palmas tal es como Welfia georgii, Astrocaryum  alatum e Iriartea deltoidea   | Árbol que alcanza hasta 35m de altura y 160 -180 cm de  dap, en bosques tropicales y premontanos muy  húmedos. El fuste es cilíndrico,  acanalado hacia la base, la cor teza  externa es bastante lisa, de color grisáceo  oscuro; internamente es de color rosáceo y textura granulosa  en árboles jóvenes  están cubiertas por una pubescencia ferruginosa. Las hojas son compuestas,  bipinnadas, alternas, con pequeñas estípulas. Las flores son bisexuales y  pequeñas. El fruto es una vaina leñosa de 20 -50 cm de largo, la vaina contiene de  3 a 8 semillas.   | La floración se da entre los meses de mayo a julio y los frutos entre  agosto a octubre.   | La madera se clasifica como estruc tural tipo B. Se utiliza en construcción  general y construcción de interiores (cerchas, vigas, columnas, pisos, puertas,  marcos para ventanas, ebanistería, muebles).
Psidium guajava   | Guayaba. | Myrtaceae  | Se encuentra en ambas vertientes y el Valle Central. Elevación entre 0 -1400 o más m. Se encuentra en Bosques húmedos y secos. Habita generalmente en sitios abiertos.   | Árbol o arbusto, de 4 a  11 m de altura. Hojas simples, opue stas. Las   flores son solitarias o hasta 3 por axila y de color   blancas. Los frutos son verdes y maduran  amarillos. La corteza externa exfoliando en placas  irregulares, las ramitas son anguladas.   | Flores observadas en abril, mayo y julio. Frutos  observados en las  mismas fechas que las flores.   | Hojas secas o frescas se utilizan como antidiarreicas, dolores estomacales y  antigripales. La corteza y hojas en decocción por vía oral para desordenes  posparto y hepáticos. El fruto consumido para do lores estomacales, hemorroides,  el jugo del fruto para la diabetes. Hojas y ramas en decocción para lavados  vaginales.
Pouteria bulliformis Aublet   | Chanó   | Sapotaceae   | es conocida en Costa Rica y Colombia, en Costa Rica esta presente en ambas vertientes (Península de Osa, Llanuras de San Carlos, Limón)   | árbol de 15 a30m de alto. Posee una copa densa, es  generalmente cilíndrico. Las hojas son de color ver de oscuro elíptica a elíptica -  oblonga u obovada, coriácea, bullada, ferruginosa especialmente en los nervios.  Margen entero y redondeado en la base. Inflorescencias axilares en fascículos  densamente ferruginosos. árboles medianos a grandes, ramitas jóvene s dorado a  ferrugíneo velloso -tomentosas; plantas hermafroditas Hojas estrechamente  agrupadas comúnmente en pseudoverticilos de 3, anchamente oblongas a  obovadas, 10.5 –19.5 ( –33) cm de largo y 8 –10 ( –16) cm de ancho, ápice  redondeado -apiculado, base redond eada a truncada, envés con numerosos  tricomas dorados erectos de brazos patentes, nervadura eucamptódroma  (broquidódroma apicalmente), 7 –14 (–23) pares de nervios secundarios, nervios  intersecundarios pocos y cortos o ausentes, terciarios oblicuos, 2 ó 3/c m, nervios  de orden superior levemente reticulados, nervios terciarios marcadamente  prominentes en el envés, los nervios terciarios y los de orden superior del mismo  color de la superficie de la hoja al secarse; pecíolo 10 –25 mm de largo.  Inflorescencias a xilares o en fascículos abajo de las hojas, 2 –8 flores por  fascículo, fascículos densamente agrupados, pedicelo 4 –6 (–21) mm de largo;  sépalos5, en 1 verticilo, 4 –4.5 mm de largo, ápice redondeado, los externos  densamente vellosos externamente, los interno s pubescentes externamente sólo  medialmente y ciliados; corola ciatiforme, 6 –6.5 mm de largo, el tubo casi tan largo  como los lobos, lobos 5, ampliamente ovados, redondeados apicalmente,  externamente glabros; estambres 5, adnados al ápice del tubo, incluid os, 2.75 –3.3  mm de largo, filamentos menos 1/2 de la longitud de las anteras, anteras glabras,  estaminodios 5, 2.5 –3 mm de largo. Fruto elipsoide, ca 4 cm de largo, base  obtusa, glabro, liso, negro; semilla 1, elipsoide, 2 –3 cm de largo, testa áspera y  opaca, cicatriz de toda la longitud de la semilla y ca 7 mm de ancho. | Sin datos. | Sin datos.
Protium confusum (Rose) Pittier   | Canfinillo (LS), Canfín (CR), Caraña (CR), Cofal (CR)    | Burseraceae   |  Belice a Panamá. En Costa Rica ampliamente, mayormente en elevaciones bajas con climas muy húmedos; 10 -2500 m.  | Árboles, 4 -15 m de alto; ramitas jóvenes con tricomas  malpigiáceos color rojizo; savia resino sin olor fuerte a tr ementina. Tronco  cilíndrico, Corteza lisa y desarrollando pequeñas raíces zancudas en la base.  Hojas imparipinnadas, con (1 -) 3-11 folíolos, de 7.5 -15 x 2.5 -4.7 cm, lanceolados,  ápice acuminado, base cuneada, margen aserrado hacia el ápice, entero o  undula do; peciólulos de 3 -8 mm de largo, pulvinados en ambos extremos. Flores  amarillentas (unisexuales); cáliz con 4(5) lóbulos, de 1 -1.4 mm de largo; pétalos 4  (5), de 2.3 -3 mm de largo, libres; estambres 8, 2 mm de largo. Inflorescencias son  racemiformes, has ta 10 cm de largo. Frutos son cápsulas drupáceos, 1.4 -2.4 x  1.2-2 cm, elipsoides u ovoides, ápice agudo, con la superficie rojiza y lenticelada;  pirenos 1 ( -3), elípticos o lanceolados, mesocarpo blanco, carnoso y resinoso. Se  caracteriza por sus foliolos relativamente pequeños, con el margen en general  aserrado hacia el ápice y peciólulos pulvinados en ambos extremos. Las ramitas  jóvenes y foliolos tienen una pubescencia escasa de tricomas malpigiáceos  rojizos. Las hojas y corteza de esta especie no despid en un aroma resinoso o  alcanforado fuerte como las otras especies del género. Tradicionalmente  confundida con  P. costarricense(Rose) Engl., en cuya especie los folíolos tienen el  margen entero y una pubescencia tomentosa amarillenta, además las flores  carecen de tricomas malpigiáceos.   |  Flores observadas en enero, febrero y julio; frutos en julio y noviembre. | Sin datos.
Protium panamense (Rose) I.M. Johnst. | Copal   | Burseraceae | Es endémica de Costa Rica y Panamá. Está tratada en peligro de extinción por pérdida de hábitat. En Costa Rica hasta el momento restringida a la vertiente del Caribe, principalmente en la zona norte (Llanuras de San Carlos, Tortuguero, etc.); 20-800 m. | Árboles, 4 -15 m de alto; con raíces zancudas en la base; ramitas glabras; savia resinosa con aroma muy fuerte a resina. Tronco  cilíndrico . Hojas imparipinnadas, con 3 -7 (-9) folíolos, de 10.5 -36.5 x 4 -12.5 cm,  ovado -lanceolados a oblongos, elípt icos u ovados, ápice abrupto acuminado, base  redondeada, glabros, margen entero; peciólulos de 1.1 -3.2 cm de largo,  pulvinados en ambos extremos. Flores blanco -verdosas o verdoso - amarillentas(unisexuales); cáliz 4 (5) lóbulos, de 1.5 mm de largo; pétalos 4  (5), de  3 x 1 -1.5 mm, triangulares; estambres 8 (10), de 2 mm de largo. Inflorescencias  son panículas o racimos muy cortos, axilares, de 7 -10 cm de largo. Frutos son  cápsulas drupáceas, de 1.7 -2.6 x 0.9 -2.1 cm, elipsoides a ovoides, apiculados,  rojizos cu ando maduros, dehiscentes en 2 -4 valvas; pirenos 1 (4), de 1.5 cm de  largo. Semillas 1 -2, cubiertas con un mesocarpo blanco y jugoso. Se caracteriza  por su tronco con raíces zancudas, las hojas con los folíolos glabros, lisos a  menudo lustrosos, estrechos y las inflorescencias en general racemosas muy  cortas. Estas características ayudan a distinguirla de las especies  Protium glabrum y P. ravenii.   | Flores observadas de febrero a mayo; frutos en julio, octubre y diciembre  (Florula, La selva. 2012).  | Sin datos.
Pachira aquatica Aubl   | Cacao Cimarrón, Cacao de Danta, Huevos de Burro, Zapotón, Quirihuillo, Poponjoche, Castaño de Guayana  | Malvaceae   | Sur de México a Brasil. En Costa Rica amplia, pero más  frecuente en elevaciones bajas con climas muy húmedos, a veces ascendiendo a bosques montanos, 0 -1200 m.   | Arbol, 8 -20 m de alto, Troncos ligeramente abultado  hacia la base y gambas pqueñas, Corteza e xterna lisa; estípulas decíduas. Hojas  digitadas, 5 -9-folioladas, 12 -26 x 6 -9 cm, oblanceolados a obovado -oblongos,  ápice abruptamente subacuminado, redondeado o emargianado, base cuneada,  inconspicuamente lepidotos hasta peludos en el envés. Flores solita rias, axilares,  blanquecinas con estambres rojos o purpúreos, tornándose amarillentas o café - amarillentas; cáliz truncado, 1.5 -2 cm de largo, puberulento; pétalos linear - oblongos, 19 -28 cm de largo, tomentosos en el exterior; estambres numerosos,  formando una columna estaminal 4 -7 cm de largo; estilo 5 -lobado en el ápice.  Fruto cápsula, oblonga a ovoide, 17 -20 (30) x 10 -12 (15) cm, con 5 valvas leñosas,  pardo oscuro por fuera, Semillas 2 -3 por carpelo, 3 -4.5 cm de largo, anguladas,  inmersas en una pulpa bla nca y carnosa . Se reconoce por sus hojas digitadas, con  los folíolos mayormente obovados, con ápice redondeado o a veces emarginado,  levemente glaucos en el envés y los peciólulos claramente articulados en el la  base o en la unión con el pecíolo. | Flores y frutos observados durante todo el año. Floración norturna. |  Las semillas cocidas o asadas son comestibles. La decocción de  las hojas es usada en Surinam como alexitérico y estíptico, de forma tópica  elimina el enrojecimiento y ardor de la piel  (Florula, La selva. 2012). Se cultiva por sus frutos secos comestibles. Su sabor es parecido al de los cacahuates, pudiéndose comer crudo o cocido, o en una harina para hacer pan. Las hojas y las flores también son comestibles.2​ Se utiliza en jardinería, como planta de exterior e interior. En Colombia se planta en parques públicos por su valor ornamental, como alimento para la fauna y consumo humano. Tiene propiedades antioxidantes, laxantes, antiinflamatorias y antimicrobianas. La corteza y las semillas se  utilizan para tratar infecciones vaginales, debilidad, anemia, presión arterial baja, afecciones renales, edemas,  fatiga, además de su uso como tónico. Las infusiones de corteza y raíces tienen efectos hipoglicemiantes y  sirven para tratar diabetes.
Pseudolmedia spuria (Sw.) Griseb.   | Guapinolillo, Quiubra  | Moraceae   |  bosque húmedo, muy  húmedo y pluvial. México a Panamá y Las  Antillas. En Costa Rica, 0 -1600 m; Ambas  vertientes, Cordilleras de Guanacaste y de  Talamanca; Vertiente Caribe, Cordillera  Central, Llanuras de San Carlos, Baja  Talamanca; Vertiente Pacífica, Pacífico  Central, Penínsulas de Nicoya y Osa   | Arbusto o árbol, de 7 -30 m, Hojas simples, alternas,  con la lámina de 3 -16 × 1 -5 cm, angostamente elíptica a lanceolada.  Inflorescencias estaminadas de 0.2 -0.5 cm de diámetro, discoides. Flores  separadas, sin organización, entremezcladas con brácteas interestaminales  variables en forma y tamaño, el perianto nulo; estambre 1, el fila mento recto en la  yema, la antera a veces apiculada, con o sin tricomas apicales. Inflorescencias  pistiladas solitarias, ca. 0.2 cm de diámetro, discoides. Flores con el perianto  tubular, 4 -lobulado, el ovario completamente adnato al perianto, estilo 1, co n 2  brazos estigmáticos filiformes. Drupas de 1.5 cm, globosas u oblongas. Se  reconoce por sus estípulas que al caer dejan una cicatriz anular en la ramita,  láminas foliares pequeñas, glabras, con las venación terciaria reticulada,  inflorescencias solitari as, discoides y frutos glabros   |  Flores observadas en Enero, Marzo y de Junio a Agosto. Frutos  observados de Enero a Julio y en Noviembre. | La especie da alimento a las aves silvestres, ayuda en la conservación de suelos, estabilización de cauces fluviales y protección de mantos acuíferos. Su madera se usa en construcción general y carpintería. Los frutos son comestibles
Persea americana   | Aguacate. | Lauraceae  | Es originari o de América,  plantado por los nativos mucho antes de  la llegada de los españoles. Con el  nombre genérico de "aguacate" se  designa tanto al árbol como al fruto y  deriva del vocablo de la lengua náhuatl  ahuacatl. Su distribución desde México hasta Costa Ric a, y en los últimos años se  ha introducido en la mayoría de países tropicales y subtropicales por ser el fruto  un alimento muy apreciado por su sabor agradable y valor nutritivo.   | Árbol siempre verde, puede alcanzar hasta 20 metro s  de altura, de amplia ramificación que forma una copa poblada de hojas oblongas,  sencillas y alternas; sus flores son blanco -verdosas, pequeñas, numerosas,  reunidas en panículas terminales. El fruto son bayas con semillas grandes,  redondas.   Se adapta a d iversas condiciones ecológicas y acepta diferentes formas de cultivo,  por lo que se ha creado, a través de injertos, una variedad muy amplia. Los hay en  distintos tipos de frutos periformes, ovalados y hasta esféricos, de distintos  tamaños, el color varia de verde -claro a verde -oscuro y morado a negruzco; de  piel lisa o áspera.   |  Flores observadas en Junio a Agosto. Frutos observados de Julio y Noviembre .  | Es comestible para el consumo humano. La cáscara del fruto se seca y  muele sirve como a ntidesentérico El aceite de la semilla se utiliza para la caída del  cabello y dar brillo a este, la semilla secada y pulverizada para trastornos  digestivos y parásitos intestinales. La infusión de las hojas sirve para lavar  infecciones y problemas de la pi el, para diarreas infecciosas e indigestión. El  aceite del aguacate se utiliza en la elaboración de cosméticos, jabones sólidos de  tocador y jabones líquidos para el tratamiento de la piel, del cuero cabelludo y del  cabello. También, la semilla produce un tinte natural de color café que fue utilizado  en el teñido de hilos de algodón,   para tejidos en los telares de palancas, pero  luego fue sustituido por colorantes químicos  (Florula, La selva. 2012).
Pouteria cainito   | Caimito , zapote amarillo   | Sapotaceae   |  Es originaria de el río Amazonas, Ecuador, Colombia y Venezuela   | árbol pequeño a mediano con savia blanca de  sensación pegajosa  (Látex) , hojas lustrosas, las inflorescencias son axilares , el  fruto carnoso al estar verde contiene látex en todo el fruto y al madurar se acumula  solo en la piel o cáscara.   |  produce frutos cada 3 meses después de la primer vez que se da entre los 4 y 6 años.   | El fruto es comestible y es popular por proveer fuerza. La madera es un excelente combustible y también se utiliza para construir carretas
Posoqueria grandifructa   | Sin datos.   | Rubiaceae   | bosque húmedo, muy húmedo y pluvial. México a Panamá y Las Antillas. En Costa  Rica, 0 -1600 m; Ambas vertientes, Cordilleras de Guanacaste y de Talamanca; Vertiente Caribe, Cordillera Central, Llanuras de San Carlos, Baja Talamanca; Vertiente Pacífica, Pacífico Central, Penínsulas de Nicoya y Osa   | Arbusto o árbol pequeño, hasta de 8 m. Esta especie se distingue por las hojas coriáceas con las venas terciarias poco resaltadas en la haz opaca, y por sus frutos con el pericarpo coriáceo, con las semillas anguladas, encerradas en una pulpa blanca o anaranjada. | Flores recolectadas de Febrero–Marzo, frutos de Marzo–Abril, de Junio–Agosto, y de Octubre–Noviembre. | Frutos comido por animales.
Pseudobombax septenatum   | Ceibo barrigón, barrigón    | Bombacaceae.   |  Se encuentra a lo largo de la  vertiente del Pacífico; es má s raro en la del  Atlántico. Elevación: de 0 a 600 m. Se encuentra  en bosques húmedos y bosques secos, bosques  costeros y dunas arenosas.   |  Árboles deciduos, con  tallo fusiforme, usualmente sin aguijones.Hojas  con 5 a 7 folíolos, d e 6 a 15 por 3 a 7 cm,  obovados, acuminados, enteros, de base  decurrente, sésiles o corto peciolados, con  peciolulos acanalados arriba.Inflorescencias  cimosas, con 2 a 5 flores por cima, o flores  solitarias, de 7 a 10 cm. Pétalos de 6.5 a 9.5  cm, carnosos,  linear -lanceolados, de rosados a  crema, pubescentes, con muchos estambres.  Columna estaminal dividida en 5 filamentos.  Ovario súpero. Estilo filiforme. Estigma  capitado o lobulado.  Fruto en cápsula subleñosa, de 15 a 17 por 5 a 7 cm,  dehiscente en 5 valva s, con muchas semillas pequeñas, embebidas en fibras  lanosas grisáceas.Se distingue fácilmente por la forma abombada o inflada de su tronco, con  numerosas rayas verdes conspicuas longitudinalmente, además de peciolulos  contínuos con el pecíolo.  En cierta s zonas del Pacífico sur constituye una especie  común a lo largo de las costas, donde se convierte en una especie dominante en  las dunas costeras detrás de la línea de las mareas altas.   |  Floración observada de noviembre a abril. Frutos observado s de enero a mayo.   |  Las semillas de esta especie son comestibles, aunque no se han utilizado  ampliamente con este fin. Antiguamente, el pelo de las semillas fue utilizado para  la elaboración de almohadas.  También en la fabricación de fósforos, chapas,   canoas.
Spondias mombin    | Jobo, Jorco.   | Anacardiaceae   |  Es originario de la América  tropical.  En Costa Rica;  se encuentra en  ambas vertientes, Cordilleras de  Guanacaste y de Talamanca; Vertiente  Caribe,  Cordillera Central,   |  El jobo es un árbol de grandes dimensiones, de hasta  20 metros de altura, perteneciente a la familia de las Anacardiáceas. Sus hojas  son glabras, imparipinadas, lanceoladas y alternas. Sus flores son blancas  y están  dispuestas en panículas. Su fruto es una drupa amarilla con sabor agrio,  semejante a la ciruela y tiene el núcleo leñoso.   | Florece durante los meses de mayo a junio y sus frutos son  observados durante los meses de agosto y septiembre.   |  fruto comestible y medicinal. El cocimiento de la corteza, actúa   contra los dolores musculares. Este cocimiento, usado en lavativas, purga y  cicatriza las úlceras rebeldes si e llas no provienen de venéreo. El fruto, macerado  en agua, es vomiti vo. La resina de este árbol se usa para curar quemadu ras y  para cicatrizar heridas.  La raspadura de la misma corteza con papelón, panela o  alfondoque se aconseja par a la curación de las heridas. El cocimiento fuerte y bien  caliente de la corteza se aplica en baños para la perlesía y en unciones para el  tétanos  (Cazabonne, 2009).
Annona papilionella   | Anonillo, Anonillo negro , Majagua, Candelo     | Annonaceae   |  Nicaragua a Brasil y Bolivia. En Costa Rica ampliamente distribuida en la zona norte, vertiente del Caribe,  Pacífico Central y zona sur; 0 -700 m. Prefiere áreas abiertas, por lo que a veces   se observa con frecuencia en bosque secundarios, orillas de bosques.   | Árbol, 15 -30 m de alto. Tronco recto, en árboles adultos  con gambas y ramitas con una pubescencia blanquecina o parda corta, Corteza  lisa y grisácea. Hojas sim ples, alternas, dísticas, de 10 -18 x 3.5 -7 cm, oblongas o  lanceolado -oblongas, ápice acuminado, base cuneada a redondeada, glabras en  la haz y blanquecino seríceas en el envés, venas secundarias de 10 -20 por lado;  pecíolos hasta 1.6 cm de largo. Flores ver des, amarillentas o anaranjadas; sépalos  diminutos; los 3 pétalos externos de 1.5 -3.0 x 1.0 -1.8 cm, obovados y arreglados  en forma de hélice; estambres numerosos. La inflorescencia ripidios cortos, con 1 - 5 flores, supra -axilares u opuestos a las hojas. Fru tos agregados (sincárpicos),  1.5-3.5 x 1.5 -3 cm, globosos a ovoide, verde o amarillo -verdosos, carpelos  numerosos, casi lisos y pubescentes. Se caracteriza por sus hojas alargadas,  cuando frescas tienen una coloración blanco -grisácea en el envés, y frutos  pequeños.   | Flores observadas entre enero y agosto y en diciembre; frutos entre  enero y agosto y de octubre a diciembre  (Florula, La selva. 2012).  | Sin datos.
Rhodostemonodaphne kunthiana (Nees) Rohwer   | Quizarra Negro   | Lauraceae   |  bosque húmedo y muy  húmedo. De Costa Rica a Perú. En Costa  Rica, 0 -900 m; Vertiente Caribe de las  Cordilleras Central, de  Guanacaste,  Talamanca y Tilarán, Llanuras de San  Carlos; Vertiente Pacífica, Península de Osa.   | Árbol, de 8 -29(-45) m. Hojas simples, alternas, de 13 - 32 × 4.5 -10 cm, elípticas, oblongas o lanceoladas. Inflorescencias de 11 -22 cm.   Flores unisexuales, por disfuncionabilidad del androceo o del gineceo. Flores  estaminadas con el perianto campanulado; estambres 9, tecas con 4 válvulas  dispuestas en arco o horizontalmente; estaminodios ausentes; pistilo linear. Flores   pistiladas con el perianto urceolado, estambres más pequeños que en las flores  estaminadas y con las válvulas inconspicuas; pistilo con el estilo corto. Bayas de  2-3.5 cm; cúpulas de 0.6 -1 cm. Se reconoce por sus flores unisexuales, con la  superficie interna de los tépalos pubescente y por poseer las válvulas de las tecas  en posición horizontal. Es muy distintiva por sus hojas densamente indumentadas  con tricomas café -amarillentos (por el envés) cuando jóvenes.   |  Flores observadas en Febrero. Frutos observados en Ma yo, Julio y Octubre  (Florula, La selva. 2012). | Sin datos.
Stenmadenia sp   | Huevos de toro, Bijarro. | Apocynaceae | Es nativo desde México hasta Colombia.   | Árbol que alcanza hasta 10 m de alt o. La savia es un látex  blanco. Sus hojas son simples, opuestas y con estípula. Las flores son blancas o color crema pequeñas. Los frutos se  presentan en pares o en cuatro, son pequeños, los cuales asemejan a los testículos del toro.   | La floració n se da entre los meses de Agosto a octubre y los frutos entre noviembre y diciembre.   | Muy apetecidos por algunas aves.
